Brand,Car,Variant,Description,Price,Fuel Type,Mileage,Transmission,Engine,Overspeed Warning,Lane Departure Warning,Emergency Brake Light Flashing,Puncture Repair Kit,Forward Collision Warning (FCW),Automatic Emergency Braking (AEB),High-beam Assist,NCAP Rating,Blind Spot Detection,Lane Departure Prevention,Dashcam,Airbags,Rear Middle Three Point seatbelt,Rear Middle Head Rest,Tyre Pressure Monitoring System (TPMS),Child Seat Anchor Points,Seat Belt Warning,Anti-Lock Braking System (ABS),Electronic Brake-force Distribution (EBD),Brake Assist (BA),Electronic Stability Program (ESP),Hill Hold Control,Traction Control System (TC/TCS),Hill Descent Control,Engine Immobiliser,Central Locking,Speed Sensing Door Lock,Child Safety Lock,Air Purifier,Umbrella Storage in Door,Electronic Parking Brake,Air Conditioner,Front AC,Rear AC,Third Row AC Zone,Heater,Vanity Mirrors on Sun Visors,Cabin Boot Access,Anti-glare Mirrors,Parking Assist,Parking Sensors,Cruise Control,Headlight and Ignition On Reminder,Keyless Start/ Button Start,Steering Adjustment,12V Power Outlets,Find My Car,Check Vehicle Status via App,Geo-fence,Emergency Call,Over The Air (OTA) Updates,Remote AC: On / Off via App,Remote Car Lock/Unlock via App,Remote Sunroof: Open / Close via App,Car Light Flashing & Honking via App,Alexa Compatibility,Driver Seat Adjustment,Front Passenger Seat Adjustment,Rear Row Seat Adjustment,Seat Upholstery,Leather-wrapped Steering Wheel,Leather-wrapped Gear Knob,Driver Armrest,Rear Passenger Seat Type,Ventilated Seats,Ventilated Seat Type,Interiors,Interior Colours,Rear Armrest,Folding Rear Seat,Split Rear Seat,Front Seatback Pockets,Headrests,Cup Holders,Driver Armrest Storage,Cooled Glovebox,Sunglass Holder,ORVM Colour,Scuff Plates,Power Windows,One Touch Down,One Touch Up,Adjustable ORVMs,Turn Indicators on ORVMs,Rear Defogger,Sunroof / Moonroof,Roof-mounted Antenna,Body-coloured Bumpers,Chrome Finish Exhaust Pipe,Body Kit,Rub-strips,Headlights,Automatic Headlamps,Follow Me Home Headlamps,Cornering Headlights,Taillights,Daytime Running Lights,Fog Lights,Ambient Interior Lighting,Puddle Lamps,Cabin Lamps,Light on Vanity Mirrors,Rear Reading Lamp,Glovebox Lamp,Headlight Height Adjuster,Instantaneous Consumption,Instrument Cluster,Trip Meter,Average Fuel Consumption,Average Speed,Distance to Empty,Clock,Low Fuel Level Warning,Door Ajar Warning,Adjustable Cluster Brightness,Gear Indicator,Shift Indicator,Heads Up Display (HUD),Tachometer,Smart Connectivity,Display,Touchscreen Size,Integrated (in-dash) Music System,Speakers,Steering-mounted controls,Voice Command,GPS Navigation System,Bluetooth Compatibility,AUX Compatibility,AM/FM Radio,USB Compatibility,Wireless Charger,Head Unit Size,iPod Compatibility,Internal Hard Drive,Battery Warranty (In Years),Battery Warranty (In Kilometres),Warranty (In Years)
maruti-suzuki-cars,Maruti Fronx,Fronx Sigma 1.2L MT,"Maruti Fronx Sigma 1.2L MT is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 7.51 Lakh. It gives a mileage of 21.79 kmpl. Maruti Fronx Sigma 1.2L MT is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",Rs. 7.51 Lakh,Petrol,21.79 kmpl,Manual - 5 Gears,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC","1 beep over 80kmph, Continuous beeps over 120kmph",No,No,No,No,No,No,Not Tested,No,No,No,"2 Airbags (Driver, Front Passenger)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Keyless,Yes,Yes,No,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control",-,-,Yes,Co-Driver Only,Yes,Manual - Internal Only,No,Rear,No,-,No,Tilt,Yes,No,No,No,No,No,No,No,No,No,No,"6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",2 way manually adjustable (headrest up / down),Fabric,No,No,No,Bench,No,No,Dual Tone,-,No,Full,60:40 split,No,Front & Rear,Front Only,No,No,No,Body Coloured,-,Front & Rear,Driver,Driver,Externally Adjustable,No,Yes,No,Yes,No,Yes,-,-,Halogen Projector,No,No,No,LED,No,-,No,No,Centre,No,Yes,No,Yes,-,Analogue - Digital,Electronic 2 Trips,Yes,No,Yes,Digital,No,Yes,Yes,No,Yes,No,Analogue,"Android Auto (No), Apple Car Play (No)",No,-,No,No,No,No,No,No,No,No,No,No,Not Available,No,No,Not Applicable,Not Applicable,Not Applicable
maruti-suzuki-cars,Maruti Fronx,Fronx Delta 1.2L MT,"Maruti Fronx Delta 1.2L MT is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 8.37 Lakh. It gives a mileage of 21.79 kmpl. Maruti Fronx Delta 1.2L MT is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",Rs. 8.37 Lakh,Petrol,21.79 kmpl,Manual - 5 Gears,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC","1 beep over 80kmph, Continuous beeps over 120kmph",No,No,No,No,No,No,Not Tested,No,No,No,"2 Airbags (Driver, Front Passenger)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Keyless,Yes,Yes,No,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control",-,-,Yes,Co-Driver Only,Yes,Manual - Internal Only,No,Rear,No,-,No,Tilt,Yes,No,No,No,No,Yes,No,No,No,No,No,"6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",2 way manually adjustable (headrest up / down),Fabric,No,No,No,Bench,No,No,Dual Tone,-,No,Full,60:40 split,No,Front & Rear,Front Only,No,No,No,Body Coloured,-,Front & Rear,Driver,Driver,Electrically Adjustable & Retractable,Yes,Yes,No,Yes,No,Yes,-,-,Halogen Projector,No,No,No,LED,No,-,No,No,Centre,No,Yes,No,Yes,-,Analogue - Digital,Electronic 2 Trips,Yes,No,Yes,Digital,No,Yes,Yes,No,Yes,No,Analogue,"Android Auto (Wireless), Apple Car Play (Wireless)",Touch-screen Display,7 inch,Yes,4,Yes,Yes,No,Phone & Audio Streaming,Yes,Yes,Yes,No,Not Available,No,No,Not Applicable,Not Applicable,Not Applicable
maruti-suzuki-cars,Maruti Fronx,Fronx Sigma 1.2 CNG,"Maruti Fronx Sigma 1.2 CNG is the cng variant in the Maruti Fronx lineup and is priced at Rs. 8.46 Lakh. It gives a mileage of 28.51 km/kg. Maruti Fronx Sigma 1.2 CNG is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",Rs. 8.46 Lakh,CNG,28.51 kmpl,Manual - 5 Gears,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC","1 beep over 80kmph, Continuous beeps over 120kmph",No,No,No,No,No,No,Not Tested,No,No,No,"2 Airbags (Driver, Front Passenger)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Keyless,Yes,Yes,No,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control",-,-,Yes,Co-Driver Only,Yes,Manual - Internal Only,No,Rear,No,-,No,Tilt,Yes,No,No,No,No,No,No,No,No,No,No,"6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",2 way manually adjustable (headrest up / down),Fabric,No,No,No,Bench,No,No,Dual Tone,-,No,Full,60:40 split,No,Front & Rear,Front Only,No,No,No,Body Coloured,-,Front & Rear,Driver,Driver,Externally Adjustable,No,Yes,No,Yes,No,Yes,-,-,Halogen Projector,No,No,No,LED,No,-,No,No,Centre,No,Yes,No,Yes,-,Analogue - Digital,Electronic 2 Trips,Yes,No,Yes,Digital,No,Yes,Yes,No,Yes,No,Analogue,"Android Auto (No), Apple Car Play (No)",No,-,No,No,No,No,No,No,No,No,No,No,Not Available,No,No,Not Applicable,Not Applicable,Not Applicable
maruti-suzuki-cars,Maruti Fronx,Fronx Delta Plus 1.2L MT,"Maruti Fronx Delta Plus 1.2L MT is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 8.77 Lakh. It gives a mileage of 21.79 kmpl. Maruti Fronx Delta Plus 1.2L MT is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",Rs. 8.77 Lakh,Petrol,21.79 kmpl,Manual - 5 Gears,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC","1 beep over 80kmph, Continuous beeps over 120kmph",No,No,No,No,No,No,Not Tested,No,No,No,"2 Airbags (Driver, Front Passenger)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Keyless,Yes,Yes,No,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control",-,-,Yes,Co-Driver Only,Yes,Manual - Internal Only,No,Rear,No,-,No,Tilt,Yes,No,No,No,No,Yes,No,No,No,No,No,"6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",2 way manually adjustable (headrest up / down),Fabric,No,No,No,Bench,No,No,Dual Tone,-,No,Full,60:40 split,No,Front & Rear,Front Only,No,No,No,Body Coloured,-,Front & Rear,Driver,Driver,Electrically Adjustable & Retractable,Yes,Yes,No,Yes,No,Yes,-,-,LED,Yes,Yes,No,LED,LED,-,No,No,Centre,No,Yes,No,Yes,-,Analogue - Digital,Electronic 2 Trips,Yes,No,Yes,Digital,No,Yes,Yes,No,Yes,No,Analogue,"Android Auto (Wireless), Apple Car Play (Wireless)",Touch-screen Display,7 inch,Yes,4,Yes,Yes,No,Phone & Audio Streaming,Yes,Yes,Yes,No,Not Available,No,No,Not Applicable,Not Applicable,Not Applicable
maruti-suzuki-cars,Maruti Fronx,Fronx Delta 1.2L AGS,"Maruti Fronx Delta 1.2L AGS is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 8.85 Lakh. It gives a mileage of 22.89 kmpl. Maruti Fronx Delta 1.2L AGS is available in Automatic (AMT) transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",Rs. 8.85 Lakh,Petrol,22.89 kmpl,Automatic (AMT) - 5 Gears,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC","1 beep over 80kmph, Continuous beeps over 120kmph",No,No,No,No,No,No,Not Tested,No,No,No,"2 Airbags (Driver, Front Passenger)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Keyless,Yes,Yes,No,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control",-,-,Yes,Co-Driver Only,Yes,Manual - Internal Only,No,Rear,No,-,No,Tilt,Yes,No,No,No,No,Yes,No,No,No,No,No,"6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",2 way manually adjustable (headrest up / down),Fabric,No,No,No,Bench,No,No,Dual Tone,-,No,Full,60:40 split,No,Front & Rear,Front Only,No,No,No,Body Coloured,-,Front & Rear,Driver,Driver,Electrically Adjustable & Retractable,Yes,Yes,No,Yes,No,Yes,-,-,Halogen Projector,No,No,No,LED,No,-,No,No,Centre,No,Yes,No,Yes,-,Analogue - Digital,Electronic 2 Trips,Yes,No,Yes,Digital,No,Yes,Yes,No,Yes,No,Analogue,"Android Auto (Wireless), Apple Car Play (Wireless)",Touch-screen Display,7 inch,Yes,4,Yes,Yes,No,Phone & Audio Streaming,Yes,Yes,Yes,No,Not Available,No,No,Not Applicable,Not Applicable,Not Applicable
maruti-suzuki-cars,Maruti Fronx,Fronx Delta Plus (O) 1.2L MT,"Maruti Fronx Delta Plus (O) 1.2L MT is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 8.93 Lakh. It gives a mileage of 21.79 kmpl. Maruti Fronx Delta Plus (O) 1.2L MT is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",Rs. 8.93 Lakh,Petrol,21.79 kmpl,Manual - 5 Gears,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC","1 beep over 80kmph, Continuous beeps over 120kmph",No,No,Yes,No,No,No,Not Tested,No,No,No,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Keyless,Yes,Yes,No,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control",-,-,Yes,Co-Driver Only,Yes,Manual - Internal Only,No,Rear,No,-,No,Tilt,Yes,No,No,No,No,Yes,No,No,No,No,No,"6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",2 way manually adjustable (headrest up / down),Fabric,No,No,No,Bench,No,No,Dual Tone,-,No,Full,60:40 split,No,Front & Rear,Front Only,No,No,No,Body Coloured,-,Front & Rear,Driver,Driver,Electrically Adjustable & Retractable,Yes,Yes,No,Yes,No,Yes,-,-,LED,Yes,Yes,No,LED,LED,-,No,No,Centre,No,Yes,No,Yes,-,Analogue - Digital,Electronic 2 Trips,Yes,No,Yes,Digital,No,Yes,Yes,No,Yes,No,Analogue,"Android Auto (Wireless), Apple Car Play (Wireless)",Touch-screen Display,7 inch,Yes,4,Yes,Yes,No,Phone & Audio Streaming,Yes,Yes,Yes,No,Not Available,No,No,Not Applicable,Not Applicable,Not Applicable
maruti-suzuki-cars,Maruti Fronx,Fronx Delta Plus 1.2L AGS,"Maruti Fronx Delta Plus 1.2L AGS is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 9.25 Lakh. It gives a mileage of 22.89 kmpl. Maruti Fronx Delta Plus 1.2L AGS is available in Automatic (AMT) transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",Rs. 9.25 Lakh,Petrol,22.89 kmpl,Automatic (AMT) - 5 Gears,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC","1 beep over 80kmph, Continuous beeps over 120kmph",No,No,No,No,No,No,Not Tested,No,No,No,"2 Airbags (Driver, Front Passenger)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Keyless,Yes,Yes,No,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control",-,-,Yes,Co-Driver Only,Yes,Manual - Internal Only,No,Rear,No,-,No,Tilt,Yes,No,No,No,No,Yes,No,No,No,No,No,"6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",2 way manually adjustable (headrest up / down),Fabric,No,No,No,Bench,No,No,Dual Tone,-,No,Full,60:40 split,No,Front & Rear,Front Only,No,No,No,Body Coloured,-,Front & Rear,Driver,Driver,Electrically Adjustable & Retractable,Yes,Yes,No,Yes,No,Yes,-,-,LED,Yes,Yes,No,LED,LED,-,No,No,Centre,No,Yes,No,Yes,-,Analogue - Digital,Electronic 2 Trips,Yes,No,Yes,Digital,No,Yes,Yes,No,Yes,No,Analogue,"Android Auto (Wireless), Apple Car Play (Wireless)",Touch-screen Display,7 inch,Yes,4,Yes,Yes,No,Phone & Audio Streaming,Yes,Yes,Yes,No,Not Available,No,No,Not Applicable,Not Applicable,Not Applicable
maruti-suzuki-cars,Maruti Fronx,Fronx Delta 1.2 CNG,"Maruti Fronx Delta 1.2 CNG is the cng variant in the Maruti Fronx lineup and is priced at Rs. 9.32 Lakh. It gives a mileage of 28.51 km/kg. Maruti Fronx Delta 1.2 CNG is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",Rs. 9.32 Lakh,CNG,28.51 kmpl,Manual - 5 Gears,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC","1 beep over 80kmph, Continuous beeps over 120kmph",No,No,No,No,No,No,Not Tested,No,No,No,"2 Airbags (Driver, Front Passenger)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Keyless,Yes,Yes,No,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control",-,-,Yes,Co-Driver Only,Yes,Manual - Internal Only,No,Rear,No,-,No,Tilt,Yes,No,No,No,No,Yes,No,No,No,No,No,"6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",2 way manually adjustable (headrest up / down),Fabric,No,No,No,Bench,No,No,Dual Tone,-,No,Full,60:40 split,No,Front & Rear,Front Only,No,No,No,Body Coloured,-,Front & Rear,Driver,Driver,Electrically Adjustable & Retractable,Yes,Yes,No,Yes,No,Yes,-,-,Halogen Projector,No,No,No,LED,No,-,No,No,Centre,No,Yes,No,Yes,-,Analogue - Digital,Electronic 2 Trips,Yes,No,Yes,Digital,No,Yes,Yes,No,Yes,No,Analogue,"Android Auto (Wireless), Apple Car Play (Wireless)",Touch-screen Display,7 inch,Yes,4,Yes,Yes,No,Phone & Audio Streaming,Yes,Yes,Yes,No,Not Available,No,No,Not Applicable,Not Applicable,Not Applicable
maruti-suzuki-cars,Maruti Fronx,Fronx Delta Plus (O) 1.2L AGS,"Maruti Fronx Delta Plus (O) 1.2L AGS is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 9.41 Lakh. It gives a mileage of 22.89 kmpl. Maruti Fronx Delta Plus (O) 1.2L AGS is available in Automatic (AMT) transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",Rs. 9.41 Lakh,Petrol,22.89 kmpl,Automatic (AMT) - 5 Gears,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC","1 beep over 80kmph, Continuous beeps over 120kmph",No,No,Yes,No,No,No,Not Tested,No,No,No,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Keyless,Yes,Yes,No,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control",-,-,Yes,Co-Driver Only,Yes,Manual - Internal Only,No,Rear,No,-,No,Tilt,Yes,No,No,No,No,Yes,No,No,No,No,No,"6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",2 way manually adjustable (headrest up / down),Fabric,No,No,No,Bench,No,No,Dual Tone,-,No,Full,60:40 split,No,Front & Rear,Front Only,No,No,No,Body Coloured,-,Front & Rear,Driver,Driver,Electrically Adjustable & Retractable,Yes,Yes,No,Yes,No,Yes,-,-,LED,Yes,Yes,No,LED,LED,-,No,No,Centre,No,Yes,No,Yes,-,Analogue - Digital,Electronic 2 Trips,Yes,No,Yes,Digital,No,Yes,Yes,No,Yes,No,Analogue,"Android Auto (Wireless), Apple Car Play (Wireless)",Touch-screen Display,7 inch,Yes,4,Yes,Yes,No,Phone & Audio Streaming,Yes,Yes,Yes,No,Not Available,No,No,Not Applicable,Not Applicable,Not Applicable
maruti-suzuki-cars,Maruti Fronx,Fronx Delta Plus 1.0 Turbo MT,"Maruti Fronx Delta Plus 1.0 Turbo MT is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 9.73 Lakh. It gives a mileage of 21.5 kmpl. Maruti Fronx Delta Plus 1.0 Turbo MT is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",Rs. 9.73 Lakh,Petrol,21.5 kmpl,Manual - 5 Gears,"998 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC","1 beep over 80kmph, Continuous beeps over 120kmph",No,No,No,No,No,No,Not Tested,No,No,No,"2 Airbags (Driver, Front Passenger)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Keyless,Yes,Yes,No,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control",-,-,Yes,Co-Driver Only,Yes,Manual - Internal Only,No,Rear,No,-,No,Tilt,Yes,No,No,No,No,Yes,No,No,No,No,No,"6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",2 way manually adjustable (headrest up / down),Fabric,No,No,No,Bench,No,No,Dual Tone,-,No,Full,60:40 split,No,Front & Rear,Front Only,No,No,No,Body Coloured,-,Front & Rear,Driver,Driver,Electrically Adjustable & Retractable,Yes,Yes,No,Yes,No,Yes,-,-,LED,Yes,Yes,No,LED,LED,-,No,No,Centre,No,Yes,No,Yes,-,Analogue - Digital,Electronic 2 Trips,Yes,No,Yes,Digital,No,Yes,Yes,No,Yes,No,Analogue,"Android Auto (Wireless), Apple Car Play (Wireless)",Touch-screen Display,7 inch,Yes,4,Yes,Yes,Yes,Phone & Audio Streaming,Yes,Yes,Yes,No,Not Available,No,No,Not Applicable,Not Applicable,Not Applicable
maruti-suzuki-cars,Maruti Fronx,Fronx Zeta 1.0L Turbo MT,"Maruti Fronx Zeta 1.0L Turbo MT is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 10.55 Lakh. It gives a mileage of 21.5 kmpl. Maruti Fronx Zeta 1.0L Turbo MT is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",Rs. 10.55 Lakh,Petrol,21.5 kmpl,Manual - 5 Gears,"998 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC","1 beep over 80kmph, Continuous beeps over 120kmph",No,Yes,No,No,No,No,Not Tested,No,No,No,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Keyless,Yes,Yes,No,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control","Blower, Vents Behind Front Armrest",-,Yes,Driver & Co-Driver,Yes,Manual - Internal Only,Reverse Camera,Rear,No,-,Yes,Tilt & Telescopic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,"8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",2 way manually adjustable (headrest up / down),Fabric,No,No,Yes,Bench,No,No,Dual Tone,-,No,Full,60:40 split,No,Front & Rear,Front Only,Yes,No,No,Body Coloured,-,Front & Rear,Driver,Driver,Electrically Adjustable & Retractable,Yes,Yes,No,Yes,No,Yes,-,-,LED,Yes,Yes,No,LED,LED,-,No,No,Centre,Driver & Co-Driver,Yes,Yes,Yes,-,Analogue - Digital,Electronic 2 Trips,Yes,Yes,Yes,Digital,Yes,Yes,Yes,No,Yes,No,Analogue,"Android Auto (Wireless), Apple Car Play (Wireless)",Touch-screen Display,7 inch,Yes,6,Yes,Yes,Yes,Phone & Audio Streaming,Yes,Yes,Yes,Yes,Not Available,No,No,Not Applicable,Not Applicable,Not Applicable
maruti-suzuki-cars,Maruti Fronx,Fronx Alpha 1.0L Turbo MT,"Maruti Fronx Alpha 1.0L Turbo MT is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 11.47 Lakh. It gives a mileage of 21.5 kmpl. Maruti Fronx Alpha 1.0L Turbo MT is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",Rs. 11.47 Lakh,Petrol,21.5 kmpl,Manual - 5 Gears,"998 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC","1 beep over 80kmph, Continuous beeps over 120kmph",No,Yes,No,No,No,No,Not Tested,No,No,No,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Keyless,Yes,Yes,No,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control","Blower, Vents Behind Front Armrest",-,Yes,Driver & Co-Driver,Yes,Electronic - Internal Only,360 Degree Camera,Rear,Yes,-,Yes,Tilt & Telescopic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,"8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",2 way manually adjustable (headrest up / down),Fabric,Yes,No,Yes,Bench,No,No,Dual Tone,-,No,Full,60:40 split,No,Front & Rear,Front Only,Yes,No,No,Body Coloured,-,Front & Rear,Driver,Driver,Auto Folding,Yes,Yes,No,Yes,No,Yes,-,-,LED,Yes,Yes,No,LED,LED,-,No,No,Centre,Driver & Co-Driver,Yes,Yes,Yes,-,Analogue - Digital,Electronic 2 Trips,Yes,Yes,Yes,Digital,Yes,Yes,Yes,No,Yes,Yes,Analogue,"Android Auto (Wireless), Apple Car Play (Wireless)",Touch-screen Display,9 inch,Yes,6,Yes,Yes,Yes,Phone & Audio Streaming,Yes,Yes,Yes,Yes,Not Available,No,No,Not Applicable,Not Applicable,Not Applicable
